time="2026-07-21T18:04:49+02:00" level=warning msg="/home/ahzf/josev-interop/iso15118/docker-compose-host-mode.yml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
 Container iso15118-redis-1 Running 
Attaching to evcc-1
 Container iso15118-secc-1 Starting 
 Container iso15118-secc-1 Started 
 Container iso15118-evcc-1 Starting 
 Container iso15118-evcc-1 Started 
evcc-1  | DEBUG    2026-07-21 16:04:56,242 - asyncio (54): Using selector: EpollSelector
evcc-1  | INFO    2026-07-21 16:04:56,245 - iso15118.evcc.evcc_settings (48): EVCC environment settings:
evcc-1  | INFO    2026-07-21 16:04:56,245 - iso15118.evcc.evcc_settings (50): PKI_PATH                      : /venv/lib/python3.10/site-packages/iso15118/shared/pki/
evcc-1  | INFO    2026-07-21 16:04:56,245 - iso15118.evcc.evcc_settings (50): MESSAGE_LOG_JSON              : True
evcc-1  | INFO    2026-07-21 16:04:56,245 - iso15118.evcc.evcc_settings (50): MESSAGE_LOG_EXI               : True
evcc-1  | INFO    2026-07-21 16:04:56,245 - iso15118.evcc.evcc_settings (50): ENABLE_TLS_1_3                : False
evcc-1  | INFO    2026-07-21 16:04:56,246 - iso15118.evcc.evcc_settings (52): NETWORK_INTERFACE             : eth0
evcc-1  | INFO    2026-07-21 16:04:56,246 - iso15118.evcc.evcc_settings (52): LOG_LEVEL                     : DEBUG
evcc-1  | INFO    2026-07-21 16:04:56,246 - iso15118.evcc.evcc_settings (52): EVCC_CONFIG_PATH              : /venv/lib/python3.10/site-packages/iso15118/shared/examples/evcc/iso15118_20/evcc_config_dc.json
evcc-1  | INFO    2026-07-21 16:04:56,253 - iso15118.evcc.evcc_config (120): EVCC Settings
evcc-1  | INFO    2026-07-21 16:04:56,253 - iso15118.evcc.evcc_config (123): supported_energy_services     : [<ServiceV20.DC: 2>]
evcc-1  | INFO    2026-07-21 16:04:56,253 - iso15118.evcc.evcc_config (123): is_cert_install_needed        : False
evcc-1  | INFO    2026-07-21 16:04:56,253 - iso15118.evcc.evcc_config (123): use_tls                       : False
evcc-1  | INFO    2026-07-21 16:04:56,253 - iso15118.evcc.evcc_config (123): sdp_retry_cycles              : 1
evcc-1  | INFO    2026-07-21 16:04:56,253 - iso15118.evcc.evcc_config (123): max_contract_certs            : 3
evcc-1  | INFO    2026-07-21 16:04:56,253 - iso15118.evcc.evcc_config (123): enforce_tls                   : False
evcc-1  | INFO    2026-07-21 16:04:56,254 - iso15118.evcc.evcc_config (123): supported_protocols           : [<Protocol.ISO_15118_20_DC: (<Namespace.ISO_V20_DC: 'urn:iso:std:iso:15118:-20:DC'>, <enum 'ISOV20PayloadTypes'>)>]
evcc-1  | INFO    2026-07-21 16:04:56,254 - iso15118.evcc.evcc_config (123): energy_transfer_mode          : AC_three_phase_core
evcc-1  | INFO    2026-07-21 16:04:56,254 - iso15118.evcc.evcc_config (123): max_supporting_points         : 1024
evcc-1  | INFO    2026-07-21 16:04:56,254 - iso15118.evcc.evcc_config (123): charge_loop_cycle             : 10
evcc-1  | INFO    2026-07-21 16:04:56,254 - iso15118.evcc.evcc_config (123): charge_loop_delay_time        : 0
evcc-1  | INFO    2026-07-21 16:04:58,029 - iso15118.shared.exi_codec (177): EXI Codec version: 1.55
evcc-1  | INFO    2026-07-21 16:04:58,029 - iso15118.evcc (30): Starting 15118 version: 0.31.2
evcc-1  | INFO    2026-07-21 16:04:58,029 - iso15118.evcc.comm_session_handler (313): Communication session handler started
evcc-1  | DEBUG    2026-07-21 16:04:58,030 - iso15118.evcc.comm_session_handler (392): Initiating new SDP cycle, 0 more cycles(s) left
evcc-1  | INFO    2026-07-21 16:04:58,030 - iso15118.evcc.comm_session_handler (398): Remaining SDP requests: 50
